"cells"	"ct"	"umi"	"cdr"
"bBM455"	"bBM455"	"ER"	3418	0.0626130118773267
"bBM456"	"bBM456"	"MO"	3117	0.0568693494061337
"bBM457"	"bBM457"	"GR"	3202	0.0580039000177274
"bBM458"	"bBM458"	"ER"	2970	0.0564793476333983
"bBM459"	"bBM459"	"GR"	2810	0.0402056372983514
"bBM460"	"bBM460"	"ER"	3555	0.0620811912781422
"bBM461"	"bBM461"	"ER"	3413	0.0607339124268747
"bBM462"	"bBM462"	"ER"	2466	0.0132955149796135
"bBM463"	"bBM463"	"ER"	3016	0.0112036872894877
"bBM464"	"bBM464"	"DC"	2908	0.0553447970218046
"bBM465"	"bBM465"	"ER"	3278	0.0593866335756072
"bBM466"	"bBM466"	"BA"	2624	0.0520120546002482
"bBM467"	"bBM467"	"GR"	3111	0.0390710866867577
"bBM468"	"bBM468"	"ER"	3055	0.0427583761744372
"bBM469"	"bBM469"	"ER"	2789	0.0557702535011523
"bBM470"	"bBM470"	"GR"	3265	0.0552384329019677
"bBM471"	"bBM471"	"ER"	3256	0.0610884594929977
"bBM472"	"bBM472"	"DC"	3092	0.0588193582698103
